date,Category,FQDN
20230202,FakeVideoStream,new.stormstone.top
20230207,FakeMcAfeeAlert,stally.click
20230207,FakeMcAfeeAlert,krarigs.live
20230207,FakeNortonAlert,rebims.live
20230207,FakeMcAfeeAlert,erudka.top
20230207,FakeNortonAlert,fanir.live
20230207,FakeMcAfeeAlert,dataprotek.xyz
20230207,"FakeMcAfeeAlert, FakeVideoStream",bobrhytmnine.xyz
20230208,FakeMcAfeeAlert,myherbalslife.com
20230208,FakeMcAfeeAlert,lual.newrequiredprotection.site
20230208,FakeMcAfeeAlert,www.hiltus.click
20230208,FakeVideoStream,new.cavecoat.top
20230208,FakeMcAfeeAlert,goleans1.click
20230208,FakeHumanVerification,adzmusic.com
20230213,FakeMcAfeeAlert,eterosessenea.com
20230213,FakeMcAfeeAlert,makegreens1.click
20230213,FakeMcAfeeAlert,thestudenteachernetwork.store
20230213,FakeMcAfeeAlert,lutan.live
20230213,FakeMcAfeeAlert,nytver.click
20230213,FakeMcAfeeAlert,utilitysafegrid.vip
20230213,FakeMcAfeeAlert,dujing.live
20230213,"FakeHumanVerification, FakeNotificationConfirmation",jirew.click
20230213,FakeNotificationConfirmation,dealiammenth.com
20230215,FakeMcAfeeAlert,techtrenddaily.com
20230215,FakeMcAfeeAlert,important-notification.info
20230215,"FakeHumanVerification, FakeNotificationConfirmation",yuore.click
20230221,FakeMcAfeeAlert,www.kempus.click
20230221,FakeMcAfeeAlert,managesophisticatedmostinfo-file.info
20230221,FakeMcAfeeAlert,setupcompletelyrefinedinfo-file.info
20230222,FakeMcAfeeAlert,allthebestjpav.link
20230222,FakeMcAfeeAlert,setuprefinedcompletelyinfo-file.info
20230222,FakeHumanVerification,updateinfoacademy.com
20230222,FakeMcAfeeAlert,syncrecenthighlyinfo-file.info
20230222,FakeHumanVerification,buygadsgroup.com
20230222,FakeMcAfeeAlert,cleannows1.click
20230222,"FakeHumanVerification, FakeVideoStream",addsdata.com
20230222,FakeMcAfeeAlert,bigprotect.space
20230227,FakeMcAfeeAlert,hull.yournewrequiredprotection.site
20230227,FakeMcAfeeAlert,bigscaner-health.site
20230227,FakeMcAfeeAlert,ksjcn.top
20230227,FakeHumanVerification,realgadssolutions.com
20230227,FakeMcAfeeAlert,playuberrecentinfo-file.info
20230227,FakeMcAfeeAlert,flownotifsolutions.click
20230227,FakeMcAfeeAlert,sedaks.live
20230227,FakeNortonAlert,rebins.live
20230227,FakeMcAfeeAlert,playswiftoverlyinfo-file.info
20230227,FakeNortonAlert,doloy.live
20230228,FakeHumanVerification,therecode247.com
20230228,FakeHumanVerification,odesclub.com
20230228,FakeHumanVerification,globaladvdomservices.com
20230228,FakeMcAfeeAlert,updategreatlyadvancedtheproduct.vip
20230228,FakeVideoStream,watch-online.7vuoh5i80tys.top
