date,Category,FQDN
20221101,FakeHumanVerification,newadsshop.com
20221101,FakeMcAfeeAlert,desor.live
20221101,FakeMcAfeeAlert,topsafellc.info
20221101,FakeMcAfeeAlert,kiper.live
20221101,FakeMcAfeeAlert,tridenteu.click
20221101,DownloadFakeAV,watchvideo.online
20221102,FakeHumanVerification,fast-travel.org
20221102,FakeVideoStream,peiynu.com
20221102,FakeHumanVerification,phenotypeguide.com
20221102,FakeHumanVerification,mscmart.com
20221102,FakeVideoStream,tpnwslndgm.com
20221102,FakeVideoStream,1.dating-roo2.site
20221102,FakeVideoStream,233.guesswhatnews.com
20221104,FakeMcAfeeAlert,safestrongsecure.com
20221104,"DownloadFakeAV, FakeVideoStream",deficetio.com
20221104,FakeMcAfeeAlert,bwerida.live
20221104,FakeMcAfeeAlert,mesig.live
20221104,FakeMcAfeeAlert,saluteu.click
20221104,FakeMcAfeeAlert,werci.click
20221104,FakeMcAfeeAlert,slimtim.click
20221104,FakeMcAfeeAlert,magit.live
20221104,FakeMcAfeeAlert,fiunt.click
20221104,"FakeHumanVerification, FakeNotificationConfirmation",higedgene.com
20221104,FakeVideoStream,trust-core.xyz
20221104,FakeMcAfeeAlert,wttb.global-protections.online
20221104,DownloadFakeADBlock,www.adremover.org
20221104,FakeMcAfeeAlert,weekendsaleb2.click
20221104,FakeMcAfeeAlert,tenoreu.click
20221109,DownloadFakeADBlock,menispirfly.com
20221109,"FakeHumanVerification, FakeVideoStream",wilycaptcha.live
20221109,FakeHumanVerification,slickperfect.com
20221110,FakeMcAfeeAlert,tactpro.net
20221110,FakeChanceToWinPrize,sweepstakessurveytoday.com
20221110,FakeMcAfeeAlert,hosit.live
20221110,FakeMcAfeeAlert,d1vyoj5rje7nqn.cloudfront.net
20221110,FakeMcAfeeAlert,ww1.radus.click
20221110,FakeMcAfeeAlert,utilitysafe.info
20221110,FakeHumanVerification,amarogitoribii.com
20221110,FakeMcAfeeAlert,pushlandings.b-cdn.net
20221110,FakeMcAfeeAlert,himar.live
20221110,FakeMcAfeeAlert,utilityhub.info
20221110,FakeHumanVerification,topcontactinc.com
20221110,FakeMcAfeeAlert,utilitymart.info
20221110,FakeHumanVerification,currentaccountadv.com
20221110,FakeHumanVerification,adforwe.com
20221110,FakeHumanVerification,buynads.com
20221110,"FakeHumanVerification, FakeVideoStream",updaterdesign.com
20221110,FakeHumanVerification,thepositiveimpactnow.com
20221110,FakeHumanVerification,regadsworld.com
20221110,FakeMcAfeeAlert,loted.live
20221110,FakeMcAfeeAlert,ooew.securityinfosystem.live
20221110,FakeMcAfeeAlert,bootmyspace.online
20221116,FakeMcAfeeAlert,utilityguard.info
20221116,FakeMcAfeeAlert,abond.live
20221116,FakeMcAfeeAlert,haters.live
20221116,FakeMcAfeeAlert,ww1.rollus.click
20221116,FakeHumanVerification,getconatyclub.com
20221116,FakeMcAfeeAlert,delimitationtwo.xyz
20221116,"FakeHumanVerification, FakeVideoStream",trustedstream.life
20221116,FakeMcAfeeAlert,newformulad2.click
20221116,FakeHumanVerification,editormoney.com
20221117,FakeMcAfeeAlert,setupquickoverlyinfo-file.info
20221117,FakeHumanVerification,myedytaclub.com
20221117,FakeMcAfeeAlert,setuphighlystronginfo-file.info
20221117,FakeMcAfeeAlert,pro.pro-suprport-act.com
20221117,FakeMcAfeeAlert,duris.live
20221117,FakeMcAfeeAlert,mactik.click
20221117,FakeMcAfeeAlert,kilon.live
20221130,FakeHumanVerification,finishupworld.com
20221130,FakeMcAfeeAlert,protectutility.info
20221130,FakeMcAfeeAlert,ledus.live
20221130,FakeMcAfeeAlert,barel.live
20221130,FakeHumanVerification,newadslab.com
20221130,FakeMcAfeeAlert,agam.live
20221130,FakeMcAfeeAlert,datalert.xyz
20221130,FakeHumanVerification,theupgradedata.com
